Status do Arquivo: Final
RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
2024-03-27;ABEVOJ24;BRABEV340016;FINANCIAL;12,4;12,51;12,44;12,5;0,08;12,53;;;157;78500;977110
2024-03-27;ABEVOK24;BRABEV350015;FINANCIAL;12,49;12,59;12,53;12,59;0;12,62;;;13;6000;75180
2024-03-27;AFSJ24;BRBMEFAFS1R4;FINANCIAL;18885;18901;18894,02;18885;-0,55;18897,2;;;2;39;509311,53
2024-03-27;AFSK24;BRBMEFAFS1S2;FINANCIAL;18926;18945;18934,28;18945;-0,51;18948,2;;;2;39;510396,66
2024-03-27;AFSM24;BRBMEFAFS1T0;FINANCIAL;;;;;;19000,6;;;;;
2024-03-27;AFSN24;BRBMEFAFS1U8;FINANCIAL;;;;;;19049;;;;;
2024-03-27;AFSQ24;BRBMEFAFS1V6;FINANCIAL;;;;;;19106,3;;;;;
2024-03-27;ARBJ24;BRBMEFARB1R9;FINANCIAL;;;;;;5,79;;;;;
2024-03-27;ARBK24;BRBMEFARB1S7;FINANCIAL;;;;;;5,486;;;;;
2024-03-27;ARBM24;BRBMEFARB1T5;FINANCIAL;;;;;;5,184;;;;;
2024-03-27;ARBN24;BRBMEFARB1U3;FINANCIAL;;;;;;4,891;;;;;
2024-03-27;ARBQ24;BRBMEFARB1V1;FINANCIAL;;;;;;4,657;;;;;
2024-03-27;ARSJ24;BRBMEFARS1G3;FINANCIAL;;;;;;859709,5;;;;;
2024-03-27;ARSK24;BRBMEFARS1H1;FINANCIAL;;;;;;910179;;;;;
2024-03-27;ARSM24;BRBMEFARS1I9;FINANCIAL;;;;;;965680,7;;;;;
2024-03-27;ARSN24;BRBMEFARS1J7;FINANCIAL;;;;;;1026450,1;;;;;
2024-03-27;ARSQ24;BRBMEFARS1K5;FINANCIAL;;;;;;1081237,7;;;;;
2024-03-27;AUDJ24;BRBMEFAUD4M7;FINANCIAL;;;;;;3250,225;;;;;
2024-03-27;AUDK24;BRBMEFAUD4N5;FINANCIAL;;;;;;3263,376;;;;;
2024-03-27;AUDM24;BRBMEFAUD4O3;FINANCIAL;;;;;;3274,494;;;;;
2024-03-27;AUDN24;BRBMEFAUD4P0;FINANCIAL;;;;;;3286,09;;;;;
2024-03-27;AUDQ24;BRBMEFAUD4Q8;FINANCIAL;;;;;;3298,823;;;;;
2024-03-27;AUSJ24;BRBMEFAUS1R5;FINANCIAL;652;653,6;652,55;653,6;0,04;652,94;;;7;2350;76299859,7
2024-03-27;AUSK24;BRBMEFAUS1S3;FINANCIAL;652;653,9;653,19;653,9;0;653,524;;;8;2464;80079045,51
2024-03-27;AUSM24;BRBMEFAUS1T1;FINANCIAL;650,8;650,8;650,8;650,8;-0,55;654,108;;;1;70;2266638,78
2024-03-27;AUSN24;BRBMEFAUS1U9;FINANCIAL;;;;;;654,62;;;;;
2024-03-27;AUSQ24;BRBMEFAUS1V7;FINANCIAL;;;;;;655,08;;;;;
2024-03-27;B3SAOJ24;BRB3SA340059;FINANCIAL;11,87;12,08;11,98;12,06;1;12,1;;;62;106900;1280744
2024-03-27;B3SAOK24;BRB3SA350058;FINANCIAL;12;12,15;12,05;12,15;0,99;12,19;;;15;29300;353257
2024-03-27;BBASOJ24;BRBBAS340014;FINANCIAL;55,72;56,3;56,14;56,2;-0,19;56,33;;;105;93600;5255519
2024-03-27;BBASOK24;BRBBAS350013;FINANCIAL;56,21;56,69;56,36;56,64;-0,15;56,75;;;17;16400;924450
2024-03-27;BBDCPJ24;BRBBDC440017;FINANCIAL;14,17;14,51;14,39;14,51;1,89;14,45;;;37;37000;532500
2024-03-27;BBDCPK24;BRBBDC450016;FINANCIAL;14,27;14,62;14,35;14,62;1,95;14,56;;;4;4000;57430
2024-03-27;BGIF25;BRBMEFBGI732;AGRIBUSINESS;;;;;;243,45;;;;;
2024-03-27;BGIH24;BRBMEFBGI6U7;AGRIBUSINESS;231,3;232;231,79;232;0,28;232;;;325;659;50408820
2024-03-27;BGIJ24;BRBMEFBGI6R3;AGRIBUSINESS;229,35;230,9;230,01;229,95;0,17;229,95;;;290;703;53362303,5
2024-03-27;BGIK24;BRBMEFBGI6Q5;AGRIBUSINESS;228,55;230,4;229,64;230,2;0,48;229,95;;;875;1380;104579244
2024-03-27;BGIM24;BRBMEFBGI708;AGRIBUSINESS;230;231,65;230,66;230,65;0,1;230,55;;;117;185;14082106,5
2024-03-27;BGIN24;BRBMEFBGI716;AGRIBUSINESS;233,65;235;234,58;234,55;0,38;234,4;;;62;135;10450588,5
2024-03-27;BGIQ24;BRBMEFBGI6T9;AGRIBUSINESS;237;238;237,52;237,95;0,44;237,4;;;14;24;1881181,5
2024-03-27;BGIQ25;BRBMEFBGI6Z6;AGRIBUSINESS;;;;;;217,1;;;;;
2024-03-27;BGIU24;BRBMEFBGI724;AGRIBUSINESS;241,5;241,5;241,5;241,5;0,98;240,15;;;1;5;398475
2024-03-27;BGIV24;BRBMEFBGI6W3;AGRIBUSINESS;243,25;247;245,35;245,4;0,28;245,75;;;182;279;22589737,5
2024-03-27;BGIX24;BRBMEFBGI6X1;AGRIBUSINESS;245;246,4;246,05;245,8;0,47;245,9;;;10;12;974391
2024-03-27;BGIZ24;BRBMEFBGI6Y9;AGRIBUSINESS;247;247;247;247;0,08;247,85;;;3;5;407550
2024-03-27;BHIAOJ24;BRBHIA340002;FINANCIAL;6,04;6,38;6,2;6,37;5,46;6,31;;;30;6200;38475
2024-03-27;BHIAOK24;BRBHIA350001;FINANCIAL;6,12;6,45;6,2;6,45;6,08;6,35;;;8;1700;10556
2024-03-27;BRIJ24;BRBMEFBRI3G0;FINANCIAL;21226;21243;21234;21243;0,63;21242;;;10;1746;370757380
2024-03-27;BRIM24;BRBMEFBRI3H8;FINANCIAL;21402;21614;21566;21592;0,61;21602;;;8;935;201648780
2024-03-27;BRIQ24;BRBMEFBRI3I6;FINANCIAL;;;;;;21950;;;;;
2024-03-27;CADJ24;BRBMEFCAD4L1;FINANCIAL;;;;;;3667,596;;;;;
2024-03-27;CADK24;BRBMEFCAD4M9;FINANCIAL;;;;;;3681,08;;;;;
2024-03-27;CADM24;BRBMEFCAD4N7;FINANCIAL;;;;;;3691,959;;;;;
2024-03-27;CADN24;BRBMEFCAD4O5;FINANCIAL;;;;;;3703,641;;;;;
2024-03-27;CADQ24;BRBMEFCAD4P2;FINANCIAL;;;;;;3717,255;;;;;
2024-03-27;CANJ24;BRBMEFCAN1R2;FINANCIAL;1356,4;1358,8;1358,42;1356,5;-0,07;1357,247;;;14;1368;249977347,77
2024-03-27;CANK24;BRBMEFCAN1S0;FINANCIAL;1356;1358,7;1358,04;1356;-0,06;1356,533;;;25;1496;273290106,24
2024-03-27;CANM24;BRBMEFCAN1T8;FINANCIAL;;;;;;1355,932;;;;;
2024-03-27;CANN24;BRBMEFCAN1U6;FINANCIAL;;;;;;1355,381;;;;;
2024-03-27;CANQ24;BRBMEFCAN1V4;FINANCIAL;;;;;;1354,698;;;;;
2024-03-27;CCMF25;BRBMEFCCP2T2;AGRIBUSINESS;;;;;;66,29;;;;;
2024-03-27;CCMH25;BRBMEFCCP2U0;AGRIBUSINESS;;;;;;68,55;;;;;
2024-03-27;CCMK24;BRBMEFCCP2P0;AGRIBUSINESS;59;60,5;59,67;59,7;-0,36;59,66;;;4527;7825;210128004
2024-03-27;CCMK25;BRBMEFCCP2V8;AGRIBUSINESS;;;;;;68,75;;;;;
2024-03-27;CCMN24;BRBMEFCCP2Q8;AGRIBUSINESS;59,05;60,4;59,77;59,58;-0,43;59,57;;;1370;2400;64558948,5
2024-03-27;CCMN25;BRBMEFCCP2W6;AGRIBUSINESS;;;;;;60,9;;;;;
2024-03-27;CCMU24;BRBMEFCCP2N5;AGRIBUSINESS;60,22;61,42;60,85;60,65;-0,47;60,67;;;2795;5908;161800092
2024-03-27;CCMU25;BRBMEFCCP2S4;AGRIBUSINESS;;;;;;62,22;;;;;
2024-03-27;CCMX24;BRBMEFCCP2R6;AGRIBUSINESS;63;64,1;63,77;63,5;-0,04;63,55;;;835;2080;59694529,5
2024-03-27;CCROOJ24;BRCCRO340058;FINANCIAL;13,82;14,05;13,94;13,96;1,01;14,02;;;29;24700;344494
2024-03-27;CCROOK24;BRCCRO350057;FINANCIAL;13,97;14,15;14,07;14,06;1;14,12;;;24;23000;323660
2024-03-27;CHFJ24;BRBMEFCHF478;FINANCIAL;;;;;;5498,544;;;;;
2024-03-27;CHFK24;BRBMEFCHF486;FINANCIAL;;;;;;5536,037;;;;;
2024-03-27;CHFM24;BRBMEFCHF494;FINANCIAL;;;;;;5570,938;;;;;
2024-03-27;CHFN24;BRBMEFCHF4A5;FINANCIAL;;;;;;5603,756;;;;;
2024-03-27;CHFQ24;BRBMEFCHF4B3;FINANCIAL;;;;;;5642,307;;;;;
2024-03-27;CHLJ24;BRBMEFCHL1R7;FINANCIAL;980500;980500;980500;980500;0,06;979913,4;;;1;17;4304,33
2024-03-27;CHLK24;BRBMEFCHL1S5;FINANCIAL;983000;983000;983000;983000;0,11;981428,5;;;1;17;4315,3
2024-03-27;CHLM24;BRBMEFCHL1T3;FINANCIAL;;;;;;982168;;;;;
2024-03-27;CHLN24;BRBMEFCHL1U1;FINANCIAL;;;;;;982500,6;;;;;
2024-03-27;CHLQ24;BRBMEFCHL1V9;FINANCIAL;;;;;;982849,1;;;;;
2024-03-27;CIELOJ24;BRCIEL340050;FINANCIAL;5,37;5,4;5,38;5,4;0,74;5,42;;;9;14800;79728
2024-03-27;CIELOK24;BRCIEL350059;FINANCIAL;5,35;5,42;5,38;5,35;-0,74;5,45;;;6;20100;108234
2024-03-27;CLPJ24;BRBMEFCLP479;FINANCIAL;;;;;;5079,9;;;;;
2024-03-27;CLPK24;BRBMEFCLP487;FINANCIAL;;;;;;5088;;;;;
2024-03-27;CLPM24;BRBMEFCLP495;FINANCIAL;;;;;;5096,9;;;;;
2024-03-27;CLPN24;BRBMEFCLP4A7;FINANCIAL;;;;;;5109,3;;;;;
2024-03-27;CLPQ24;BRBMEFCLP4B5;FINANCIAL;;;;;;5123,6;;;;;
2024-03-27;CMIGPJ24;BRCMIG440055;FINANCIAL;12,31;12,69;12,42;12,69;2,25;12,68;;;170;141600;1759492
2024-03-27;CMIGPK24;BRCMIG450054;FINANCIAL;12,45;12,78;12,68;12,78;2,24;12,78;;;89;76800;973955
2024-03-27;CNHJ24;BRBMEFCNH1R5;FINANCIAL;7253;7260;7255,83;7253;0,1;7254,233;;;15;4466;152776377,67
2024-03-27;CNHK24;BRBMEFCNH1S3;FINANCIAL;7246;7252,5;7247,34;7246;0,18;7242,374;;;10;3008;102779628,68
2024-03-27;CNHM24;BRBMEFCNH1T1;FINANCIAL;7237;7239;7238,78;7237;0,24;7229,798;;;6;1509;51499770,05
2024-03-27;CNHN24;BRBMEFCNH1U9;FINANCIAL;;;;;;7215,767;;;;;
2024-03-27;CNHQ24;BRBMEFCNH1V7;FINANCIAL;;;;;;7199,497;;;;;
2024-03-27;CNYJ24;BRBMEFCNY477;FINANCIAL;;;;;;6890,178;;;;;
2024-03-27;CNYK24;BRBMEFCNY485;FINANCIAL;;;;;;6934,932;;;;;
2024-03-27;CNYM24;BRBMEFCNY493;FINANCIAL;;;;;;6974,329;;;;;
2024-03-27;CNYN24;BRBMEFCNY4A4;FINANCIAL;;;;;;7013,761;;;;;
2024-03-27;CNYQ24;BRBMEFCNY4B2;FINANCIAL;;;;;;7060,698;;;;;
2024-03-27;COGNOJ24;BRCOGN340041;FINANCIAL;2,37;2,4;2,39;2,38;-1,65;2,4;;;18;52900;126474
2024-03-27;COGNOK24;BRCOGN350040;FINANCIAL;2,41;2,41;2,41;2,41;-0,82;2,41;;;1;4500;10845
2024-03-27;CSNAOJ24;BRCSNA340019;FINANCIAL;15,52;15,78;15,68;15,78;0,83;15,74;;;46;20200;316921
2024-03-27;CSNAOK24;BRCSNA350018;FINANCIAL;15,78;15,87;15,82;15,87;0,69;15,86;;;7;3500;55380
2024-03-27;DAPF25;BRBMEFDAP470;FINANCIAL;6,66;6,75;6,679;6,69;-0,29;94917,17;6,69;;50;1384;225430138,6
2024-03-27;DAPF26;BRBMEFDAP4M4;FINANCIAL;;;;;;90489,47;5,691;;;;
2024-03-27;DAPJ24;BRBMEFDAP4I2;FINANCIAL;6,59;7,53;6,781;6,6;-6,95;99694,15;6,644;;13;6414;1097152698,8
2024-03-27;DAPK24;BRBMEFDAP4J0;FINANCIAL;;;;;;99126,89;6,926;;;;
2024-03-27;DAPK25;BRBMEFDAP330;FINANCIAL;5,9;5,96;5,913;5,91;-0,92;93743,82;5,9;;78;20816;3347887251,99
2024-03-27;DAPK27;BRBMEFDAP3U9;FINANCIAL;5,59;5,62;5,592;5,59;-1,07;84395,52;5,59;;66;2105;304818077,5
2024-03-27;DAPK29;BRBMEFDAP4N2;FINANCIAL;5,62;5,72;5,683;5,66;-0,71;75471,24;5,674;;120;49116;6357846971,76
