Status do Arquivo: Parcial
RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
2024-04-01;ICFH25;BRBMEFICF385;AGRIBUSINESS;;;;;;227,95;;;;;
2024-04-01;ICFH26;BRBMEFICF3B4;AGRIBUSINESS;;;;;;227,75;;;;;
2024-04-01;ICFK24;BRBMEFICF302;AGRIBUSINESS;;;;;;236,45;;;;;
2024-04-01;ICFK25;BRBMEFICF393;AGRIBUSINESS;;;;;;228,45;;;;;
2024-04-01;ICFN24;BRBMEFICF377;AGRIBUSINESS;;;;;;237,35;;;;;
2024-04-01;ICFU24;BRBMEFICF336;AGRIBUSINESS;;;;;;233,15;;;;;
2024-04-01;ICFU25;BRBMEFICF369;AGRIBUSINESS;;;;;;229,6;;;;;
2024-04-01;ICFZ24;BRBMEFICF344;AGRIBUSINESS;;;;;;231,95;;;;;
2024-04-01;ICFZ25;BRBMEFICF3A6;AGRIBUSINESS;;;;;;227,55;;;;;
2024-04-01;IDIJ24C273000;BRBMEFCIJOR0;FINANCIAL;;;;;;;;118053,8;;;
2024-04-01;IDIJ24C273100;BRBMEFCIJOT6;FINANCIAL;;;;;;;;117953,8;;;
2024-04-01;IDIJ24C300100;BRBMEFCIJOV2;FINANCIAL;;;;;;;;90953,8;;;
2024-04-01;IDIJ24C373000;BRBMEFCIJOS8;FINANCIAL;;;;;;;;18053,8;;;
2024-04-01;IDIJ24C388000;BRBMEFCIJO27;FINANCIAL;;;;;;;;3053,8;;;
2024-04-01;IDIJ24C388100;BRBMEFCIJO35;FINANCIAL;;;;;;;;2953,8;;;
2024-04-01;IDIJ24C388200;BRBMEFCIJO43;FINANCIAL;;;;;;;;2853,8;;;
2024-04-01;IDIJ24C388300;BRBMEFCIJO50;FINANCIAL;;;;;;;;2753,8;;;
2024-04-01;IDIJ24C388400;BRBMEFCIJO68;FINANCIAL;;;;;;;;2653,8;;;
2024-04-01;IDIJ24C388500;BRBMEFCIJO76;FINANCIAL;;;;;;;;2553,8;;;
2024-04-01;IDIJ24C388600;BRBMEFCIJO84;FINANCIAL;;;;;;;;2453,8;;;
2024-04-01;IDIJ24C388700;BRBMEFCIJO92;FINANCIAL;;;;;;;;2353,8;;;
2024-04-01;IDIJ24C388800;BRBMEFCIJOA6;FINANCIAL;;;;;;;;2253,8;;;
2024-04-01;IDIJ24C388900;BRBMEFCIJOB4;FINANCIAL;;;;;;;;2153,8;;;
2024-04-01;IDIJ24C389000;BRBMEFCIJOC2;FINANCIAL;;;;;;;;2053,8;;;
2024-04-01;IDIJ24C389100;BRBMEFCIJOD0;FINANCIAL;;;;;;;;1953,8;;;
2024-04-01;IDIJ24C389200;BRBMEFCIJOE8;FINANCIAL;;;;;;;;1853,8;;;
2024-04-01;IDIJ24C389300;BRBMEFCIJOF5;FINANCIAL;;;;;;;;1753,8;;;
2024-04-01;IDIJ24C389400;BRBMEFCIJOG3;FINANCIAL;;;;;;;;1653,8;;;
2024-04-01;IDIJ24C389500;BRBMEFCIJOH1;FINANCIAL;;;;;;;;1553,8;;;
2024-04-01;IDIJ24C389600;BRBMEFCIJOI9;FINANCIAL;;;;;;;;1453,8;;;
2024-04-01;IDIJ24C389700;BRBMEFCIJOJ7;FINANCIAL;;;;;;;;1353,8;;;
2024-04-01;IDIJ24C389800;BRBMEFCIJOK5;FINANCIAL;;;;;;;;1253,8;;;
2024-04-01;IDIJ24C389900;BRBMEFCIJOL3;FINANCIAL;;;;;;;;1153,8;;;
2024-04-01;IDIJ24C390000;BRBMEFCIJOM1;FINANCIAL;;;;;;;;1053,8;;;
2024-04-01;IDIJ24C390100;BRBMEFCIJNT8;FINANCIAL;;;;;;;;953,8;;;
2024-04-01;IDIJ24C390200;BRBMEFCIJNU6;FINANCIAL;;;;;;;;853,8;;;
2024-04-01;IDIJ24C390300;BRBMEFCIJNV4;FINANCIAL;;;;;;;;753,8;;;
2024-04-01;IDIJ24C390400;BRBMEFCIJNW2;FINANCIAL;;;;;;;;653,8;;;
2024-04-01;IDIJ24C390500;BRBMEFCIJNX0;FINANCIAL;;;;;;;;553,8;;;
2024-04-01;IDIJ24C390600;BRBMEFCIJNY8;FINANCIAL;;;;;;;;453,8;;;
2024-04-01;IDIJ24C390700;BRBMEFCIJNZ5;FINANCIAL;;;;;;;;353,8;;;
2024-04-01;IDIJ24C390800;BRBMEFCIJO01;FINANCIAL;;;;;;;;253,8;;;
2024-04-01;IDIJ24C390900;BRBMEFCIJO19;FINANCIAL;;;;;;;;153,8;;;
2024-04-01;IDIJ24C391000;BRBMEFCIJNJ9;FINANCIAL;;;;;;;;53,8;;;
2024-04-01;IDIJ24C391050;BRBMEFCIJP75;FINANCIAL;;;;;;;;3,8;;;
2024-04-01;IDIJ24C391100;BRBMEFCIJNK7;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C391200;BRBMEFCIJNL5;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C391300;BRBMEFCIJNM3;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C391400;BRBMEFCIJNN1;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C391500;BRBMEFCIJNO9;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C391600;BRBMEFCIJNP6;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C391700;BRBMEFCIJNQ4;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C391800;BRBMEFCIJNR2;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C391900;BRBMEFCIJNS0;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C392000;BRBMEFCIJN28;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C392100;BRBMEFCIJN36;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C392200;BRBMEFCIJN44;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C392300;BRBMEFCIJN51;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C392400;BRBMEFCIJN69;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C392500;BRBMEFCIJN77;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C392600;BRBMEFCIJN85;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C392700;BRBMEFCIJN93;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C392800;BRBMEFCIJNA8;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C392900;BRBMEFCIJNB6;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C393000;BRBMEFCIJNC4;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C393100;BRBMEFCIJND2;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C393200;BRBMEFCIJNE0;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C393300;BRBMEFCIJNF7;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C393400;BRBMEFCIJNG5;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C393500;BRBMEFCIJMN3;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C393600;BRBMEFCIJMO1;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C393700;BRBMEFCIJMP8;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C393800;BRBMEFCIJMQ6;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C393900;BRBMEFCIJMR4;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C394000;BRBMEFCIJMS2;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C394100;BRBMEFCIJMT0;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C394200;BRBMEFCIJMU8;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C394300;BRBMEFCIJMV6;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C394400;BRBMEFCIJMW4;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C394500;BRBMEFCIJMX2;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C394600;BRBMEFCIJMY0;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C394700;BRBMEFCIJMZ7;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C394800;BRBMEFCIJN02;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C394900;BRBMEFCIJN10;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C395000;BRBMEFCIJLI5;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C395100;BRBMEFCIJLJ3;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C395200;BRBMEFCIJLK1;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C395300;BRBMEFCIJLL9;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C395400;BRBMEFCIJLM7;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C395500;BRBMEFCIJLN5;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C395600;BRBMEFCIJLO3;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C395700;BRBMEFCIJLP0;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C395800;BRBMEFCIJLQ8;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C395900;BRBMEFCIJLR6;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C396000;BRBMEFCIJLS4;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C396100;BRBMEFCIJLT2;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C396200;BRBMEFCIJLU0;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C396300;BRBMEFCIJLV8;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C396400;BRBMEFCIJLW6;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C396500;BRBMEFCIJLX4;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C396600;BRBMEFCIJLY2;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C396700;BRBMEFCIJLZ9;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C396800;BRBMEFCIJM03;FINANCIAL;;;;;;;;0,01;;;
2024-04-01;IDIJ24C396900;BRBMEFCIJM11;FINANCIAL;;;;;;;;0,01;;;
